#time,real,imag
0,-0.101338,0
0.01,-0.101347,-1.24683e-18
0.02,-0.101375,1.91724e-18
0.03,-0.101422,1.4699e-17
0.04,-0.101487,-9.57092e-18
0.05,-0.101572,-6.0809e-19
0.06,-0.101675,-3.50228e-18
0.07,-0.101796,1.15496e-17
0.08,-0.101936,-2.59912e-18
0.09,-0.102095,-2.85553e-18
0.1,-0.102272,3.69694e-18
0.11,-0.102466,-4.12521e-18
0.12,-0.102679,2.42272e-18
0.13,-0.10291,-2.70002e-18
0.14,-0.103159,-7.39768e-18
0.15,-0.103425,-1.97981e-18
0.16,-0.103708,-2.08443e-19
0.17,-0.104009,-1.1397e-17
0.18,-0.104327,8.67957e-19
0.19,-0.104661,-2.99795e-18
0.2,-0.105012,-6.33803e-19
0.21,-0.10538,-8.67833e-18
0.22,-0.105763,-5.72795e-18
0.23,-0.106163,-2.00793e-17
0.24,-0.106578,1.57489e-17
0.25,-0.107009,-8.72653e-18
0.26,-0.107454,-1.98409e-18
0.27,-0.107914,-5.82087e-18
0.28,-0.108388,8.85994e-18
0.29,-0.108875,6.15208e-18
0.3,-0.109377,6.33197e-18
0.31,-0.109893,-8.89657e-18
0.32,-0.110422,-3.80736e-18
0.33,-0.110964,1.85469e-18
0.34,-0.111518,-8.35896e-18
0.35,-0.112084,-8.45365e-18
0.36,-0.112663,8.71357e-18
0.37,-0.113252,-1.55305e-18
0.38,-0.113853,2.06429e-18
0.39,-0.114464,-2.72445e-18
0.4,-0.115086,-1.01212e-17
0.41,-0.115717,3.68664e-18
0.42,-0.116357,3.18707e-18
0.43,-0.117007,2.39239e-18
0.44,-0.117665,-1.00731e-17
0.45,-0.118331,-1.80355e-18
0.46,-0.119004,1.83292e-18
0.47,-0.119685,4.09542e-18
0.48,-0.120373,-3.83758e-18
0.49,-0.121068,-3.24559e-19
0.5,-0.121768,-2.85463e-18
0.51,-0.122474,-5.71338e-18
0.52,-0.123185,-6.0664e-18
0.53,-0.1239,-3.66163e-18
0.54,-0.12462,7.80626e-18
0.55,-0.125344,1.47452e-17
0.56,-0.126071,7.80627e-18
0.57,-0.126801,8.67379e-19
0.58,-0.127533,-2.60208e-17
0.59,-0.128267,-8.67357e-18
0.6,-0.129003,-6.93888e-18
0.61,-0.12974,9.54099e-18
0.62,-0.130478,-1.82146e-17
0.63,-0.131216,1.64799e-17
0.64,-0.131954,1.64799e-17
0.65,-0.132691,-8.67352e-19
0.66,-0.133427,-1.73472e-17
0.67,-0.134162,-6.93889e-18
0.68,-0.134894,7.80626e-18
0.69,-0.135625,1.30611e-17
0.7,-0.136352,-1.05568e-17
0.71,-0.137076,-1.2611e-17
0.72,-0.137797,-6.18186e-18
0.73,-0.138513,-6.943e-18
0.74,-0.139226,-2.76308e-18
0.75,-0.139933,2.09901e-18
0.76,-0.140635,-1.38249e-17
0.77,-0.141331,9.71078e-18
0.78,-0.142022,-1.42832e-17
0.79,-0.142706,-1.0367e-17
0.8,-0.143383,-2.60688e-18
0.81,-0.144053,3.35411e-18
0.82,-0.144716,2.89351e-17
0.83,-0.145371,-5.8401e-18
0.84,-0.146018,8.99683e-18
0.85,-0.146656,-5.80055e-18
0.86,-0.147285,-1.87768e-17
0.87,-0.147905,3.84627e-18
0.88,-0.148516,5.79288e-19
0.89,-0.149117,-2.70725e-17
0.9,-0.149708,-2.9475e-18
0.91,-0.150289,-4.00324e-18
0.92,-0.150859,-5.59605e-18
0.93,-0.151418,-2.1759e-18
0.94,-0.151966,5.40265e-18
0.95,-0.152503,-1.9837e-18
0.96,-0.153028,-1.75946e-17
0.97,-0.153541,-1.17383e-17
0.98,-0.154043,9.06255e-18
0.99,-0.154532,8.75055e-18
1,-0.155008,2.72561e-17
1.01,-0.155472,-1.27676e-17
1.02,-0.155923,5.59226e-18
1.03,-0.156361,-1.25609e-17
1.04,-0.156786,2.01244e-17
1.05,-0.157198,9.02162e-18
1.06,-0.157596,-8.23013e-18
1.07,-0.157981,-1.60386e-17
1.08,-0.158352,1.76508e-17
1.09,-0.15871,-2.32492e-17
1.1,-0.159053,7.67768e-18
1.11,-0.159383,3.50239e-18
1.12,-0.159699,2.21984e-18
1.13,-0.16,8.61749e-18
1.14,-0.160288,-8.26466e-18
1.15,-0.160561,2.50351e-17
1.16,-0.16082,-1.84268e-18
1.17,-0.161065,6.22618e-18
1.18,-0.161296,-2.46643e-17
1.19,-0.161513,1.169e-17
1.2,-0.161715,-1.91447e-17
1.21,-0.161903,-1.87313e-17
1.22,-0.162077,1.49556e-17
1.23,-0.162237,7.19731e-18
1.24,-0.162383,5.25072e-18
1.25,-0.162515,-1.95331e-17
1.26,-0.162633,3.65996e-20
1.27,-0.162738,-9.50652e-18
1.28,-0.162828,-1.06668e-18
1.29,-0.162905,-1.36472e-17
1.3,-0.162969,-1.22141e-17
1.31,-0.163019,-1.48583e-17
1.32,-0.163055,4.664e-18
1.33,-0.163079,-1.13799e-17
1.34,-0.16309,-2.18037e-17
1.35,-0.163087,-3.31696e-19
1.36,-0.163072,-2.25094e-17
1.37,-0.163045,-4.64822e-18
1.38,-0.163005,-9.25014e-18
1.39,-0.162953,-2.28459e-18
1.4,-0.162889,2.35069e-18
1.41,-0.162814,-2.13051e-17
1.42,-0.162726,-2.09093e-17
1.43,-0.162628,5.85498e-18
1.44,-0.162518,1.605e-17
1.45,-0.162397,-3.2949e-18
1.46,-0.162266,4.04146e-19
1.47,-0.162124,-7.5081e-18
1.48,-0.161972,1.42573e-17
1.49,-0.16181,9.18184e-18
1.5,-0.161638,-9.45966e-18
1.51,-0.161457,7.82658e-18
1.52,-0.161266,8.21283e-18
1.53,-0.161063,-1.79842e-17
1.54,-0.160858,-6.83537e-18
1.55,-0.160641,2.60986e-18
1.56,-0.160417,5.7295e-18
1.57,-0.160184,3.8472e-18
1.58,-0.159944,2.00447e-17
1.59,-0.159697,1.83445e-18
1.6,-0.159442,8.96285e-18
1.61,-0.159181,-5.47875e-18
1.62,-0.158913,7.33814e-19
1.63,-0.15864,-1.4935e-17
1.64,-0.15836,-1.42513e-17
1.65,-0.158075,-1.34308e-17
1.66,-0.157785,1.79344e-18
1.67,-0.15749,1.91422e-17
1.68,-0.15719,1.36609e-17
1.69,-0.156885,-5.31259e-18
1.7,-0.156577,1.61546e-17
1.71,-0.156265,-1.73472e-18
1.72,-0.155949,1.4962e-17
1.73,-0.15563,2.49366e-18
1.74,-0.155308,2.88331e-18
1.75,-0.154983,-4.06074e-18
1.76,-0.154656,1.53248e-19
1.77,-0.154327,2.60755e-18
1.78,-0.153997,-5.91765e-20
1.79,-0.153664,6.4973e-18
1.8,-0.153331,1.03526e-17
1.81,-0.152985,1.32214e-17
1.82,-0.152658,-6.62391e-19
1.83,-0.152324,2.4674e-18
1.84,-0.151989,1.086e-17
1.85,-0.151646,5.69009e-18
1.86,-0.151317,-1.71243e-17
1.87,-0.150984,-1.56292e-17
1.88,-0.150652,2.21153e-17
1.89,-0.15032,-7.59513e-19
1.9,-0.14999,-1.18624e-17
1.91,-0.149661,-2.76753e-18
1.92,-0.149334,-3.45583e-18
1.93,-0.14901,1.32773e-18
1.94,-0.148687,-5.12991e-18
1.95,-0.148367,7.00292e-18
1.96,-0.148051,1.43305e-17
1.97,-0.147737,1.45753e-17
1.98,-0.147426,3.2193e-18
1.99,-0.147119,1.38605e-17
2,-0.146815,-1.47942e-17
2.01,-0.146515,-1.02043e-17
2.02,-0.146219,1.33001e-17
2.03,-0.145926,1.45728e-18
2.04,-0.14564,1.05168e-17
2.05,-0.145357,-3.90313e-18
2.06,-0.145079,-1.94072e-17
2.07,-0.144806,-1.1601e-17
2.08,-0.144525,-1.48536e-17
2.09,-0.14427,1.34983e-17
2.1,-0.144013,-8.6762e-18
2.11,-0.143762,-2.31589e-18
2.12,-0.143515,1.13358e-17
2.13,-0.143282,-1.61421e-17
2.14,-0.143042,4.98915e-17
2.15,-0.142811,3.19314e-17
2.16,-0.142586,2.26698e-18
2.17,-0.142367,-5.65358e-18
2.18,-0.142155,4.27191e-17
2.19,-0.14195,2.9003e-18
2.2,-0.141749,-1.12666e-17
2.21,-0.141555,-1.44249e-17
2.22,-0.141368,-3.98274e-18
2.23,-0.141188,7.0378e-18
2.24,-0.141013,-8.88743e-18
2.25,-0.140845,-1.51788e-18
2.26,-0.140683,1.18178e-17
2.27,-0.140527,7.60324e-18
2.28,-0.140379,-1.81594e-19
2.29,-0.140238,-4.16995e-18
2.3,-0.140102,9.71519e-18
2.31,-0.139971,3.6059e-20
2.32,-0.13985,6.50321e-18
2.33,-0.139735,-2.41379e-18
2.34,-0.139626,-2.05271e-18
2.35,-0.139523,-1.13461e-17
2.36,-0.139427,1.7919e-18
2.37,-0.139337,-4.79988e-18
2.38,-0.139253,-2.62377e-17
2.39,-0.139175,7.15573e-18
2.4,-0.139104,4.33681e-19
2.41,-0.139039,-3.55618e-17
2.42,-0.138981,-1.36609e-17
2.43,-0.138927,2.19824e-17
2.44,-0.138881,5.56212e-18
2.45,-0.138847,1.03977e-18
2.46,-0.138812,-8.96034e-18
2.47,-0.138779,3.41328e-18
2.48,-0.138755,2.90441e-17
2.49,-0.138737,1.95156e-17
2.5,-0.138724,-8.67346e-19
2.51,-0.138717,6.50534e-18
2.52,-0.138715,3.09299e-17
2.53,-0.138718,1.34441e-17
2.54,-0.138727,-1.47451e-17
2.55,-0.13874,1.27971e-17
2.56,-0.13876,1.21363e-17
2.57,-0.138782,-3.52674e-18
2.58,-0.138809,-9.59135e-18
2.59,-0.138841,1.42813e-17
2.6,-0.138879,-1.32817e-17
