#time,real,imag
0,-0.101338,0
0.01,-0.101348,1.18178e-17
0.02,-0.101376,-1.84766e-18
0.03,-0.101423,-2.16563e-19
0.04,-0.101489,3.196e-18
0.05,-0.101573,-4.4992e-18
0.06,-0.101676,-6.52237e-18
0.07,-0.101797,-3.94007e-18
0.08,-0.101937,3.83164e-18
0.09,-0.102096,-3.89951e-18
0.1,-0.102272,6.80051e-18
0.11,-0.102467,-2.23528e-20
0.12,-0.10268,-3.82092e-18
0.13,-0.102911,1.46379e-17
0.14,-0.103159,-1.1182e-18
0.15,-0.103425,6.05271e-19
0.16,-0.103709,2.24999e-18
0.17,-0.104009,7.23718e-18
0.18,-0.104327,-2.44389e-18
0.19,-0.104661,-5.16637e-18
0.2,-0.105012,-8.02974e-19
0.21,-0.10538,-1.48357e-18
0.22,-0.105763,-4.53103e-18
0.23,-0.106162,-6.38977e-18
0.24,-0.106577,-6.29529e-18
0.25,-0.107008,6.01455e-19
0.26,-0.107453,-2.46332e-18
0.27,-0.107913,1.96468e-18
0.28,-0.108387,4.60793e-18
0.29,-0.108876,3.36433e-18
0.3,-0.109378,4.03657e-18
0.31,-0.109894,-9.67563e-18
0.32,-0.110423,8.63612e-18
0.33,-0.110965,-1.60835e-18
0.34,-0.111519,1.07925e-17
0.35,-0.112085,-9.51843e-19
0.36,-0.112663,1.10812e-17
0.37,-0.113253,1.42689e-18
0.38,-0.113853,-9.10901e-18
0.39,-0.114464,-2.91534e-18
0.4,-0.115085,9.37895e-18
0.41,-0.115716,2.38853e-18
0.42,-0.116357,1.23295e-17
0.43,-0.117006,6.18832e-19
0.44,-0.117664,7.53318e-18
0.45,-0.11833,1.0583e-18
0.46,-0.119004,3.71864e-18
0.47,-0.119685,1.45077e-17
0.48,-0.120373,-8.07797e-18
0.49,-0.121067,3.08022e-18
0.5,-0.121767,-1.52663e-17
0.51,-0.122473,-6.21356e-19
0.52,-0.123184,-3.49183e-18
0.53,-0.1239,-7.15824e-18
0.54,-0.12462,6.93889e-18
0.55,-0.125344,5.20417e-18
0.56,-0.126071,-4.33681e-18
0.57,-0.126801,3.46945e-18
0.58,-0.127533,9.54098e-18
0.59,-0.128268,1.73472e-17
0.6,-0.129004,9.54098e-18
0.61,-0.129741,-3.46945e-18
0.62,-0.130478,8.67362e-18
0.63,-0.131217,1.30104e-17
0.64,-0.131954,1.04083e-17
0.65,-0.132692,-8.67362e-19
0.66,-0.133428,8.67362e-19
0.67,-0.134162,1.73472e-18
0.68,-0.134895,-6.07153e-18
0.69,-0.135625,-1.28946e-18
0.7,-0.136352,-8.46941e-18
0.71,-0.137077,1.16294e-17
0.72,-0.137797,9.38183e-18
0.73,-0.138514,1.06326e-17
